name,place_id,business_status,types,lat,lng
Mayadesing,ChIJM7QiSt-9b48RRgQIMwElHBA,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.0066659,-87.1937679
Kinder Yaguacire,ChIJ7VwrrQC9b48RJgLFhWqB99c,OPERATIONAL,"school,point_of_interest,establishment",14.0129253,-87.2151887
Centro de Atención Psicológica y Daycare Approved +,ChIJreIFO8eXb48RTVzzADZYG_Y,OPERATIONAL,"school,point_of_interest,establishment",14.0433947,-87.2107898
Little Talents,ChIJR1wAX929b48R7AjxPbyMqsM,OPERATIONAL,"point_of_interest,establishment",14.0445625,-87.22139419999999
Hogar del niño Rosa Elena de Lobo,ChIJR-pgq6-9b48R7orIHf-qh8g,OPERATIONAL,"school,point_of_interest,establishment",14.0466649,-87.1647429
Cher's Learning Center and Daycare,ChIJPe6cCjS9b48RCtb1iegVueY,OPERATIONAL,"school,point_of_interest,establishment",14.0505643,-87.22945849999999
"Centro Infantil San Isidro, ACOES",ChIJRQVUSxC9b48RVCAffBpOhqM,OPERATIONAL,"school,point_of_interest,establishment",14.0508655,-87.1945868
Marlen bonilla,ChIJ9VO8at2Xb48R91KmPRCTEMs,OPERATIONAL,"school,point_of_interest,establishment",14.0542792,-87.25108209999999
Pekes,ChIJEQojV5y9b48RRkczi4oyMNk,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.0530959,-87.23325109999999
ABC EDUCATIONAL CENTER,ChIJeVKVydKjb48R9ZHwOaUFthk,OPERATIONAL,"school,point_of_interest,establishment",14.0525605,-87.2291365
Little Tigers´ Palace,ChIJccwZ3teXb48RYCbPXzOB90s,OPERATIONAL,"point_of_interest,establishment",14.0462327,-87.22885819999999
Little Stars,ChIJQ6z3uNiXb48RaU5DQjeXoW0,OPERATIONAL,"school,point_of_interest,establishment",14.0543579,-87.22316099999999
KInder El Eden,ChIJ1ZdFUl29b48RXsl9tWeIwA4,OPERATIONAL,"school,point_of_interest,establishment",14.0548225,-87.1959866
Pekes,ChIJEQojV5y9b48RRkczi4oyMNk,OPERATIONAL,"clothing_store,point_of_interest,store,establishment",14.0530959,-87.23325109999999
Baby's House & Kids tienda de ropa niños y bebés en Tegucigalpa,ChIJtXAbotW8b48Rko-ZtbCr2mY,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.0558855,-87.2288311
My first steps Daycare,ChIJq7WYQ9-Xb48RjKnXw333TVk,OPERATIONAL,"school,point_of_interest,establishment",14.0550223,-87.2231832
Baby's House & Kids tienda de ropa niños y bebés en Tegucigalpa,ChIJtXAbotW8b48Rko-ZtbCr2mY,OPERATIONAL,"clothing_store,point_of_interest,store,establishment",14.0558855,-87.2288311
"Centro Infantil Virgen del Pino, ACOES",ChIJ6XJjZBO9b48RzDO-yZTtLWI,OPERATIONAL,"school,point_of_interest,establishment",14.054508,-87.20041719999999
Little Kingdom,ChIJSXgp8aW9b48RJ9QwKDK15KY,CLOSED_TEMPORARILY,"point_of_interest,establishment",14.0571941,-87.1833308
LITTLE ANGELS CHRISTIAN SCHOOL,ChIJKbz3p1i9b48RlFpx971md3Q,OPERATIONAL,"school,point_of_interest,establishment",14.0551204,-87.1770727
Baby's House & Kids tienda de ropa niños y bebés en Tegucigalpa,ChIJtXAbotW8b48Rko-ZtbCr2mY,OPERATIONAL,"point_of_interest,clothing_store,store,establishment",14.0558855,-87.2288311
Pekes,ChIJEQojV5y9b48RRkczi4oyMNk,OPERATIONAL,"point_of_interest,clothing_store,store,establishment",14.0530959,-87.23325109999999
Mundo Infantil School,ChIJ_xKUg6SXb48Rg67VZyZBXb4,OPERATIONAL,"school,point_of_interest,establishment",14.0585596,-87.222802
Centro Infantil San José ACOES,ChIJW--T_QS9b48RHbxzXsj_d-A,OPERATIONAL,"school,point_of_interest,establishment",14.0596513,-87.20666399999999
